Component,MW,RD (m),hh (m),mass (kg),cost ($),model,source,note,OEM,outlier?,US market model?
blade,2,93,80,8500,,DeWind D9.1,https://en.wind-turbine-models.com/turbines/910-dewind-d9-1,,DeWind,No,No
blade,1.5,77,65,5500,,Dongfang FD77-1500 geared,https://en.wind-turbine-models.com/turbines/2221-dongfang-fd77-1500-geared,,Dongfang,No,Yes
blade,3,91.3,80,10000,,Doosan WinDS3000/91,https://en.wind-turbine-models.com/turbines/482-doosan-winds3000-91,,Doosan,No,No
blade,0.015,12,14,100,,ecotÃ¨cnia ECO 12/15,https://en.wind-turbine-models.com/turbines/1404-ecot-cnia-eco-12-15,,ecotÃ¨cnia,No,No
blade,1.67,74,60,5600,,ecotÃ¨cnia ECO 74/1670,https://en.wind-turbine-models.com/turbines/788-ecot-cnia-eco-74-1670,,ecotÃ¨cnia,No,No
blade,1.67,80,60,5600,,ecotÃ¨cnia ECO 80/1670,https://en.wind-turbine-models.com/turbines/787-ecot-cnia-eco-80-1670,,ecotÃ¨cnia,No,No
blade,1,50,55,3600,,ELKRAFT AvedÃ¸re 1MW,https://en.wind-turbine-models.com/turbines/1166-elkraft-aved-re-1mw,,ELKRAFT,No,No
blade,0.2,24,25,1700,,ELSAM - Gedser Prototype,https://en.wind-turbine-models.com/turbines/40-elsam-gedser-prototype,,ELSAM - Gedser,No,No
blade,0.63,40,45,3400,,ELSAM - Nibe Nibe B,https://en.wind-turbine-models.com/turbines/99-elsam-nibe-nibe-b,,ELSAM - Nibe,No,No
blade,2,61.1,60,8500,,Elsam TjÃ¦reborg,https://en.wind-turbine-models.com/turbines/1012-elsam-tj-reborg,,Elsam,No,No
blade,0.055,15,18,400,,Enercon E-15,https://en.wind-turbine-models.com/turbines/282-enercon-e-15,,Enercon,No,No
blade,0.08,18,28.5,300,,Enercon E-18,https://en.wind-turbine-models.com/turbines/353-enercon-e-18,,Enercon,No,No
blade,0.28,29.6,50,300,,Enercon E-30,https://en.wind-turbine-models.com/turbines/376-enercon-e-30,,Enercon,No,No
blade,0.3,32,34,1400,,Enercon E-32 / 300,https://en.wind-turbine-models.com/turbines/367-enercon-e-32-300,,Enercon,No,No
blade,0.5,40.3,42,900,,Enercon E-40/5.40,https://en.wind-turbine-models.com/turbines/67-enercon-e-40-5-40,,Enercon,No,Yes
blade,1.5,66,60,4000,,Enercon E-66,https://en.wind-turbine-models.com/turbines/826-enercon-e-66,,Enercon,No,No
